keyword,asin,url,ad,title,price,real_price,rating,rating_count,thumbnail_url
ipad,B07H9H5QZ8,https://www.amazon.com/Apple-Generation-Cellular-128GB-Refurbished/dp/B07H9H5QZ8,False,"Apple iPad 9.7in 6th Generation WiFi + Cellular (128GB, Space Gray) (Renewed)",$209.95,$219.95,4.5,452,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07SVD2MBM,https://www.amazon.com/Apple-iPad-9-7-inch-Unlocked-Verizon/dp/B07SVD2MBM,False,"2018 Apple iPad (Wi-Fi + Cellular, 32GB) - Space Gray (Renewed)",$184.00,,4.5,216,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07BSHN97X,https://www.amazon.com/Apple-iPad-Air-64GB-Wi-Fi/dp/B07BSHN97X,False,"Apple iPad Air 2, 64GB, 4G + Wi-Fi - Gold (Renewed)",$165.00,,4.1,220,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07J4CMSVS,https://www.amazon.com/IPAD-WI-FI-64GB-GRAY-Refurbished/dp/B07J4CMSVS,False,IPAD AIR 2 WI-FI 64GB GRAY (Renewed),$165.00,,4.5,698,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B0BCTSBW8T,https://www.amazon.com/Quad-core-Processor-Keyboard-Expandable-Bluetooth/dp/B0BCTSBW8T,False,"2023 Newest Tablet 10 Inch, Android 11 Tablet Newest Quad-core Processor, 2 in 1 Tablet with Keyboard, 64GB ROM + 4GB RAM Storage, 128GB Expandable, 5G WiFi, Bluetooth, GPS, 1280 * 800 HD Display",$149.99,,4.2,209,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B01C131M6E,https://www.amazon.com/Apple-128GB-Wi-Fi-Tablet-Refurbished/dp/B01C131M6E,False,"Apple iPad Pro (128GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)",$388.00,,4.2,"1,164",https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B08YJYC4WN,https://www.amazon.com/Android-Octa-Core-Processor-Storage-Bluetooth/dp/B08YJYC4WN,False,"Tablet 10.1 inch Android 11 Tablet 2023 Latest Update Octa-Core Processor with 64GB Storage, Dual 13MP+5MP Camera, WiFi, Bluetooth, GPS, 128GB Expand Support, IPS Full HD Display (Black)",$149.99,$159.99,4.3,"2,719",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B096WJQNZ4,https://www.amazon.com/Fire-7-Tablet/dp/B096WJQNZ4,False,"Amazon Fire 7 tablet, 7” display, 16 GB, 10 hours battery life, light and portable for entertainment at home or on-the-go, (2022 release), Denim",$39.99,$59.99,4.5,"9,344",https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B0BPSSJCXL,https://www.amazon.com/IWEGGO-Android-Quad-Core-Processor-4300mAh/dp/B0BPSSJCXL,False,"IWEGGO Tablet 8inch Tablet with Case, Android 11 Tablet, 2G RAM, 32GB ROM,Quad-Core 1.6GHz Processor, 4300mAh, Tablet FHD Display, Dual Camera, FM, Type-C, incloud case",$48.99,,3.8,134,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07G3FQKQN,https://www.amazon.com/Apple-Refurbished-iPad-Air-128GB/dp/B07G3FQKQN,False,Apple Renewed iPad Air 2 - 128GB - Space Grey (Renewed),$189.00,,4.3,838,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B07G3FMKY3,https://www.amazon.com/Apple-Refurbished-iPad-Air-Silver/dp/B07G3FMKY3,False,Apple Renewed iPad Air 2 - 128GB - Silver (Renewed),$170.30,,4.3,308,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B0BFC2S2YP,https://www.amazon.com/iPad-Air-3-64GB-Renewed-Premium/dp/B0BFC2S2YP,False,iPad Air 3-64GB - WiFi - Gold (Renewed Premium),$269.00,,5.0,1,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B0BFC37TBL,https://www.amazon.com/Apple-iPad-Pro-12-9in-Gen/dp/B0BFC37TBL,False,Apple iPad Pro 12.9in (5th Gen.) - 2TB - WiFi - Silver (Renewed Premium),"$1,049.00",,,,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07BW1V54J,https://www.amazon.com/Apple-iPad-10-5-Inch-MQDY2LL-Refurbished/dp/B07BW1V54J,False,"Apple iPad Pro 10.5-Inch 64GB Rose Gold (WiFi Only, Mid 2017) MQDY2LL/A (Renewed)",$249.00,,4.3,66,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B0BNCKSJVY,https://www.amazon.com/2022-Apple-12-9-inch-Wi-Fi-256GB/dp/B0BNCKSJVY,False,"2022 Apple iPad Pro (12.9-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",$979.00,"$1,149.99",4.3,23,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B074PXS24F,https://www.amazon.com/Apple-iPad-128GB-Space-Model/dp/B074PXS24F,False,"Apple iPad 9.7 with WiFi, 128GB- Space Gray (2017 Model) - (Renewed)",$184.00,,4.5,"2,405",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B0B493Q7P5,https://www.amazon.com/Early-Apple-Wi-Fi-Space-Renewed/dp/B0B493Q7P5,False,"Early 2022 Apple iPad Air 5th Gen (10.9 inch, Wi-Fi, 64GB) Space Gray (Renewed)",,,4.4,282,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B0BFC3QZLM,https://www.amazon.com/Apple-iPad-7th-Gen-Renewed/dp/B0BFC3QZLM,False,Apple iPad (7th Gen.) - 32GB - WiFi - Gold (Renewed Premium),$250.00,,3.6,4,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B098D6LZLW,https://www.amazon.com/Samsung-Lite-Gray-SM-T220NZAAXAR-Renewed/dp/B098D6LZLW,False,"Samsung Tab A7 Lite 8.7"" Gray 32GB (SM-T220NZAAXAR) (Renewed)",$105.99,$129.00,4.2,300,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B01KAKPFF4,https://www.amazon.com/Apple-Tablet-128GB-Wi-Fi-Renewed/dp/B01KAKPFF4,False,"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gray (Renewed)",$239.00,,4.5,"2,269",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B06XKHTXPB,https://www.amazon.com/Apple-iPad-Pro-Rose-Gold/dp/B06XKHTXPB,False,"Apple iPad Pro Tablet (256 GB, LTE, 9.7in) Rose Gold (Renewed)",$289.00,,4.2,70,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B0785RYY7M,https://www.amazon.com/Apple-iPad-10-5-inch-64GB-Refurbished/dp/B0785RYY7M,False,"Apple iPad Pro 10.5-inch 64GB WiFi Only, Gold (Renewed)",$249.00,,4.3,205,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B01HU7EDD0,https://www.amazon.com/Apple-iPad-Wi-Fi-7-9-Inch-Tablet/dp/B01HU7EDD0,False,Apple iPad mini 4 64GB (Wi-Fi) 7.9-Inch iOS Tablet - Silver (Renewed),$269.00,,4.3,125,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B07VN96QB7,https://www.amazon.com/Apple-iPad-Air-10-5-inch-Wi-Fi-256GB/dp/B07VN96QB7,False,Apple iPad Air 3 Gray 256GB WiFi,$282.00,,4.5,"2,007",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B07Q8RX57R,https://www.amazon.com/Apple-iPad-Pro-12-9-inch-Generation/dp/B07Q8RX57R,False,"Apple iPad Pro 12.9-inch, 3rd Generation - Wi-Fi, 256GB - Space Gray (Renewed)",$553.90,,4.4,"3,496",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B00TREI0IY,https://www.amazon.com/Apple-MH1J2LL-NEWEST-VERSION-Refurbished/dp/B00TREI0IY,False,"Apple iPad Air 2 MH1J2LL/A (128GB, Wi-Fi, Gold) NEWEST VERSION (Renewed)",$174.95,,4.3,521,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B07FLY6MF9,https://www.amazon.com/Apple-Wi-Fi-128GB-Alternative-MR7J2LL/dp/B07FLY6MF9,False,Apple iPad 6thGEn Wi-Fi 128GB Space Gray - Early 2018 (Renewed),$206.00,,4.6,"1,294",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B07XL7Q8MY,https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-Cellular/dp/B07XL7Q8MY,False,"Apple iPad (10.2-inch, Wi-Fi + Cellular, 32GB) - Silver (Previous Model)",,,4.5,156,https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
ipad,B08CVV1PND,https://www.amazon.com/Apple-iPad-12-9-inch-Wi-Fi-128GB/dp/B08CVV1PND,False,"2020 Apple iPad Pro (12.9-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",$699.95,,4.5,"1,482",https://m.media-amazon.com/images/I/71Mt4JAZQtL._AC_UY218_.jpg
